Severity,Start_Lat,Start_Lng,Distance(mi),Timezone,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Clearance_Time(hr),Clearance_Class,Weather_Simplified,State_Other,Road_Type,Population,County_Other,Month,CT_Transformed
2,32.456486,-93.774536,0.501,Central,78.0,78.0,62.0,29.61,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,26.20583333333333,Very Long,Fair,LA,Avenue,187540,Caddo,Sep,1.8969719951678494
2,36.804693,-76.189728,0.253,Eastern,54.0,54.0,90.0,30.4,7.0,CALM,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Night,81.27444444444444,Very Long,Fair,VA,Drive,459444,Virginia Beach,May,2.160573272315837
2,29.895740747309222,-90.09002566294627,1.154,Pacific,40.0,33.0,58.0,30.28,10.0,N,10.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,8761.75,Very Long,Cloudy,LA,Drive,440784,Jefferson,Jan,2.5851937508543914
2,32.456459,-93.779709,0.016,Central,62.0,62.0,75.0,29.8,10.0,SSE,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,28.096666666666668,Very Long,Cloudy,LA,Avenue,187540,Caddo,Nov,1.9162721228845492
2,26.966433,-82.255414,0.057,Eastern,84.0,84.0,69.0,29.99,10.0,E,18.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,27.26,Very Long,Cloudy,FL,Boulevard,186824,Charlotte,Sep,1.9079511252791326
2,36.231607,-95.975564,0.198,Central,76.0,76.0,69.0,29.2,10.0,S,5.0,0.0,False,False,False,False,False,False,False,False,True,False,False,Night,24.822777777777777,Very Long,Cloudy,OK,Avenue,413143,Tulsa,Sep,1.881647567705647
4,39.933497,-75.252421,0.05,Eastern,45.0,45.0,90.0,29.97,8.0,E,3.0,0.03,False,False,False,False,False,False,False,False,False,False,False,Night,306.1622222222222,Very Long,Rain,PA,Avenue,576970,Delaware,Dec,2.360631840112807
2,30.480805635306925,-90.3347504134639,2.507,Central,66.0,66.0,35.0,29.95,10.0,WNW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,8761.75,Very Long,Fair,LA,Highway,19632,Tangipahoa,Jan,2.5851937508543914
4,39.07618,-84.519503,1.276,Eastern,60.0,60.0,55.0,29.48,10.0,NNW,7.0,0.0,False,False,True,False,False,False,False,False,True,False,False,Day,1218.1,Very Long,Cloudy,KY,Highway,40953,Kenton,Nov,2.487237540386432
2,39.96096,-78.840864,0.713,Eastern,72.0,72.0,69.0,29.46,7.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,24.88388888888889,Very Long,Cloudy,PA,Highway,74137,Somerset,Sep,1.8823483236061371
