Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Street,City,County,State,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Clearance_Time(hr),Clearance_Class
2,2022-09-08 20:54:00,2022-09-09 23:06:21,32.456486,-93.774536,0.501, Hollywood Ave,Shreveport,Caddo,LA,US/Central,KSHV,78.0,78.0,62.0,29.61,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,26.205833333333334,Very Long
2,2021-05-22 00:40:30,2021-05-25 09:56:58,36.804693,-76.189728,0.253,Regent University Dr,Virginia Beach,Virginia Beach,VA,US/Eastern,KORF,54.0,54.0,90.0,30.4,7.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,81.27444444444444,Very Long
2,2022-01-21 14:25:00,2023-01-21 16:10:00,29.895740747309222,-90.09002566294627,1.154,Farrington Dr,Marrero,Jefferson,LA,US/Pacific,KAUD,40.0,33.0,58.0,30.28,10.0,N,10.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,8761.75,Very Long
2,2020-11-27 00:44:00,2020-11-28 04:49:48,32.456459,-93.779709,0.016, Hollywood Ave,Shreveport,Caddo,LA,US/Central,KSHV,62.0,62.0,75.0,29.8,10.0,SSE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,28.096666666666668,Very Long
2,2020-09-21 12:07:00,2020-09-22 15:22:36,26.966433,-82.255414,0.057, Jennings Blvd,Port Charlotte,Charlotte,FL,US/Eastern,KPGD,84.0,84.0,69.0,29.99,10.0,E,18.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,27.26,Very Long
2,2022-09-24 23:29:18,2022-09-26 00:18:40,36.231607,-95.975564,0.198, N Peoria Ave,Tulsa,Tulsa,OK,US/Central,KTUL,76.0,76.0,69.0,29.2,10.0,S,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,24.822777777777777,Very Long
4,2020-12-04 16:45:30,2020-12-17 10:55:14,39.933497,-75.252421,0.05, Yeadon Ave,Lansdowne,Delaware,PA,US/Eastern,KPHL,45.0,45.0,90.0,29.97,8.0,E,3.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,306.1622222222222,Very Long
2,2022-01-13 16:03:00,2023-01-13 17:48:00,30.480805635306925,-90.3347504134639,2.507,I-12,Hammond,Tangipahoa,LA,US/Central,KHDC,66.0,66.0,35.0,29.95,10.0,WNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,8761.75,Very Long
4,2020-11-11 13:53:00,2021-01-01 07:59:00,39.07618,-84.519503,1.276,I-71 N,Covington,Kenton,KY,US/Eastern,KLUK,60.0,60.0,55.0,29.48,10.0,NNW,7.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,1218.1,Very Long
2,2021-09-20 19:28:00,2021-09-21 20:21:02,39.96096,-78.840864,0.713,I-70 W,Berlin,Somerset,PA,US/Eastern,KCBE,72.0,72.0,69.0,29.46,7.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24.88388888888889,Very Long
4,2020-09-09 14:30:00,2020-09-14 06:59:00,45.28103,-122.343734,1.685, Woodburn-Estacada Hwy,Estacada,Clackamas,OR,US/Pacific,KTTD,90.0,90.0,8.0,29.84,10.0,E,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,112.48333333333333,Very Long
2,2021-08-29 21:39:00,2021-08-30 22:29:48,35.152694,-114.089731,0.388,I-40 E,Kingman,Mohave,AZ,US/Mountain,KIGM,86.0,86.0,26.0,26.43,5.0,SE,29.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24.846666666666668,Very Long
2,2021-09-25 02:46:00,2022-09-25 04:31:00,30.158006,-89.849385,2.229,I-10 E,New Orleans,Orleans,LA,US/Central,KNEW,69.0,69.0,65.0,30.06,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,8761.75,Very Long
2,2022-01-18 10:30:22,2022-01-19 12:31:43,45.77931046464072,-108.15242886491708,3.768,I-90 W,Huntley,Yellowstone,MT,US/Mountain,KBIL,27.0,15.0,78.0,26.28,9.0,ENE,16.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,26.0225,Very Long
2,2021-01-12 18:36:30,2021-01-14 18:10:00,45.214209,-122.974379,0.073, Main St NE,Saint Paul,Marion,OR,US/Pacific,KMMV,58.0,58.0,90.0,29.54,6.0,S,15.0,0.13,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,47.55833333333333,Very Long
2,2021-02-12 09:49:00,2021-02-15 11:44:20,30.53447700000001,-87.326327,0.014,W Nine Mile Rd,Pensacola,Escambia,FL,US/Central,KPNS,56.0,56.0,87.0,29.87,10.0,N,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,73.92222222222222,Very Long
3,2021-09-02 04:50:03,2021-09-03 07:47:00,40.311062,-74.25140400000002,1.6100000143051147,Dickson Rd,Marlboro,Monmouth,NJ,US/Eastern,KBLM,64.0,64.0,90.0,29.5,10.0,NW,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,26.949166666666667,Very Long
2,2020-12-12 08:01:00,2020-12-13 09:56:49,28.088039,-82.453132,0.051,E Bearss Ave,Tampa,Hillsborough,FL,US/Eastern,KVDF,61.0,61.0,82.0,30.13,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,25.93027777777778,Very Long
2,2022-02-20 16:02:00,2023-02-20 17:47:00,30.235881,-93.215461,0.078,I-10,Lake Charles,Calcasieu,LA,US/Central,KCWF,66.0,66.0,64.0,30.13,10.0,SSE,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,8761.75,Very Long
2,2021-12-15 21:25:09,2021-12-17 16:00:00,44.81251358964533,-117.33330845776877,4.982, Highway 86,Richland,Baker,OR,US/Pacific,KBKE,27.0,15.0,89.0,26.37,9.0,E,16.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,42.58083333333333,Very Long
2,2022-05-01 18:20:00,2022-05-02 19:36:22,32.474606,-93.784424,0.063, Dupont St,Shreveport,Caddo,LA,US/Central,KSHV,85.0,85.0,40.0,29.75,10.0,NE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,25.272777777777776,Very Long
2,2021-06-24 00:00:00,2021-06-27 23:59:00,25.8731,-80.12395500000002,0.203, 88th St,Miami Beach,Miami-Dade,FL,US/Eastern,KOPF,80.0,80.0,71.0,30.1,10.0,NE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,95.98333333333333,Very Long
4,2020-12-23 22:23:27,2020-12-24 23:08:33,41.177412,-97.593388,0.72, 130th Rd,Osceola,Polk,NE,US/Central,KJYR,18.0,4.0,79.0,28.29,10.0,NW,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,24.751666666666665,Very Long
2,2021-06-10 10:01:00,2022-06-10 11:46:00,30.40267825112151,-91.50048136667488,0.315,I-10 W,Maringouin,Iberville,LA,US/Central,KHZR,81.0,81.0,84.0,30.01,10.0,WSW,7.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,8761.75,Very Long
2,2022-08-11 08:25:28,2022-08-12 09:16:13,36.15038300000001,-95.986668,0.071, E 7th St,Tulsa,Tulsa,OK,US/Central,KRVS,78.0,78.0,68.0,29.41,10.0,NNE,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,24.845833333333335,Very Long
2,2021-02-02 15:58:00,2022-02-02 17:43:00,30.100082,-90.900503,1.671,LA-70,Convent,St James,LA,US/Central,KL38,56.0,56.0,37.0,30.11,10.0,WNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,8761.75,Very Long
2,2021-02-11 15:02:55,2021-02-12 21:23:49,45.740046,-120.623372,6.659,I-84 E,Arlington,Gilliam,OR,US/Pacific,KHRI,28.0,18.0,53.0,29.51,10.0,N,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,30.348333333333333,Very Long
2,2022-02-16 15:56:48,2022-02-17 16:50:28,45.15418410279678,-107.36982464739144,1.758,I-90 E,Lodge Grass,Big Horn,MT,US/Mountain,KSHR,21.0,7.0,78.0,25.98,2.0,WNW,17.0,0.02,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,24.894444444444446,Very Long
2,2023-01-27 19:41:10,2023-02-03 23:59:00,40.720846,-74.00715500000003,0.011, Beach St,New York,New York,NY,US/Eastern,KJRB,38.0,33.0,48.0,30.07,10.0,SW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,172.29722222222222,Very Long
2,2021-01-08 04:14:00,2021-01-09 07:18:05,32.385985999999995,-93.817139,0.032, Ardis Taylor Dr,Shreveport,Caddo,LA,US/Central,KSHV,40.0,36.0,86.0,30.02,10.0,NNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,27.068055555555556,Very Long
2,2020-10-19 22:57:00,2020-10-21 09:00:00,35.25327,-82.217742,5.995,US-74 W,Columbus,Polk,NC,US/Eastern,KFQD,52.0,52.0,100.0,29.1,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,34.05,Very Long
2,2022-06-27 17:04:07,2022-06-28 17:49:53,36.133522,-95.912977,0.011,S Hudson Ave,Tulsa,Tulsa,OK,US/Central,KTUL,84.0,84.0,33.0,29.49,10.0,ENE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,True,False,False,False,Day,24.762777777777778,Very Long
