Severity,Start_Lat,Start_Lng,Distance(mi),Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Clearance_Class,Weather_Simplified,State_Other,Road_Type,Population,County_Other,Month
2,32.456486,-93.774536,0.501,Central,78.0,62.0,29.61,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,Avenue,187540,Caddo,Sep
2,36.804693,-76.189728,0.253,Eastern,54.0,90.0,30.4,7.0,CALM,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,Night,Very Long,Fair,VA,Drive,459444,Virginia Beach,May
2,29.895740747309222,-90.09002566294627,1.154,Pacific,40.0,58.0,30.28,10.0,N,10.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Very Long,Cloudy,LA,Drive,440784,Jefferson,Jan
2,32.456459,-93.779709,0.016,Central,62.0,75.0,29.8,10.0,SSE,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,LA,Avenue,187540,Caddo,Nov
2,26.966433,-82.255414,0.057,Eastern,84.0,69.0,29.99,10.0,E,18.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Cloudy,FL,Boulevard,186824,Charlotte,Sep
2,36.231607,-95.975564,0.198,Central,76.0,69.0,29.2,10.0,S,5.0,0.0,False,False,False,False,False,False,False,False,True,False,False,Night,Very Long,Cloudy,OK,Avenue,413143,Tulsa,Sep
4,39.933497,-75.252421,0.05,Eastern,45.0,90.0,29.97,8.0,E,3.0,0.03,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Rain,PA,Avenue,576970,Delaware,Dec
2,30.480805635306925,-90.3347504134639,2.507,Central,66.0,35.0,29.95,10.0,WNW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,LA,Highway,19632,Tangipahoa,Jan
4,39.07618,-84.519503,1.276,Eastern,60.0,55.0,29.48,10.0,NNW,7.0,0.0,False,False,True,False,False,False,False,False,True,False,False,Day,Very Long,Cloudy,KY,Highway,40953,Kenton,Nov
2,39.96096,-78.840864,0.713,Eastern,72.0,69.0,29.46,7.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Cloudy,PA,Highway,74137,Somerset,Sep
4,45.28103,-122.343734,1.685,Pacific,90.0,8.0,29.84,10.0,E,17.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Fair,OR,Highway,4421,Clackamas,Sep
2,35.152694,-114.089731,0.388,Mountain,86.0,26.0,26.43,5.0,SE,29.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Windy,AZ,Highway,32689,Mohave,Aug
2,30.158006,-89.849385,2.229,Central,69.0,65.0,30.06,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Fair,LA,Highway,384130,Orleans,Sep
2,45.77931046464072,-108.15242886491708,3.768,Mountain,27.0,78.0,26.28,9.0,ENE,16.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Very Long,Snow,MT,Highway,164722,Yellowstone,Jan
2,45.214209,-122.974379,0.073,Pacific,58.0,90.0,29.54,6.0,S,15.0,0.13,False,False,False,False,False,False,False,False,False,False,False,Night,Very Long,Rain,OR,Street,345905,Marion,Jan
